school,address,higher,Medu,studytime,Fedu,internet,G1,G2,G3
1,1,1,4,2,4,0,0,11,11
1,1,1,1,2,1,1,9,11,11
1,1,1,1,2,1,1,12,13,12
1,1,1,4,3,2,1,14,14,14
1,1,1,3,2,3,0,11,13,13
1,1,1,4,2,3,1,12,12,13
1,1,1,2,2,2,1,13,12,13
1,1,1,4,2,4,0,10,13,13
1,1,1,3,2,2,1,15,16,17
1,1,1,3,2,4,1,12,12,13
1,1,1,4,2,4,1,14,14,14
1,1,1,2,3,1,1,10,12,13
1,1,1,4,1,4,1,12,13,12
1,1,1,4,2,3,1,12,12,13
1,1,1,2,3,2,1,14,14,15
1,1,1,4,1,4,1,17,17,17
1,1,1,4,3,4,1,13,13,14
1,1,1,3,2,3,0,13,14,14
1,1,1,3,1,2,1,8,8,7
1,1,1,4,1,3,1,12,12,12
1,1,1,4,2,3,1,12,13,14
1,1,1,4,1,4,1,11,12,12
1,1,1,4,2,2,1,12,13,14
1,1,1,2,2,2,1,10,10,10
1,0,1,2,3,4,1,10,11,10
1,1,1,2,1,2,1,10,11,12
1,1,1,2,1,2,1,11,12,12
1,1,1,4,1,2,1,11,11,11
1,1,1,3,2,4,1,12,12,13
1,1,1,4,2,4,1,12,11,12
1,1,1,4,2,4,1,10,11,11
1,1,1,4,2,4,1,15,15,15
1,0,1,4,2,3,1,13,14,15
1,1,1,3,2,3,1,13,12,12
1,1,1,3,1,2,1,12,12,12
1,1,1,2,1,3,0,11,11,11
1,1,1,4,3,3,1,14,14,14
1,0,1,4,3,4,1,13,13,13
1,0,1,3,3,4,1,11,12,12
1,0,1,2,1,2,0,14,13,12
1,1,1,2,2,2,1,11,11,10
1,1,1,4,1,4,1,10,11,11
1,1,1,4,2,4,1,14,15,15
1,1,1,2,1,2,1,9,10,10
1,1,1,2,2,2,1,10,11,11
1,1,1,4,2,3,1,10,11,11
1,1,1,3,2,3,1,13,12,13
1,1,1,4,4,3,1,17,17,17
1,1,1,4,2,2,0,11,12,13
1,1,1,4,2,4,1,13,12,12
1,1,1,2,2,2,1,14,13,13
1,1,1,4,2,2,1,16,14,16
1,1,1,4,1,2,0,10,9,9
1,1,1,4,1,4,1,13,12,12
1,1,1,3,1,3,1,13,12,13
1,1,1,2,2,1,1,12,13,12
1,1,1,4,2,3,1,15,14,15
1,1,1,4,2,4,0,15,15,16
1,1,1,1,2,2,1,14,13,14
1,1,1,4,2,2,1,16,15,16
1,0,1,4,2,4,0,17,16,16
1,1,1,1,1,1,1,10,10,16
1,1,1,1,2,2,1,13,13,10
1,1,1,4,3,3,1,14,13,13
1,1,1,4,2,3,1,13,12,12
1,1,1,4,2,3,1,16,15,16
1,1,1,4,4,4,1,11,12,12
1,1,1,3,4,1,1,10,9,10
1,0,1,2,2,2,1,11,10,11
1,0,1,3,4,1,1,15,15,15
1,1,1,3,4,1,1,13,11,11
1,1,1,4,4,2,1,11,9,10
1,0,1,1,2,1,1,13,11,11
1,1,1,3,1,1,0,13,13,14
1,1,1,3,2,3,1,11,11,11
1,1,1,4,2,3,1,11,11,11
1,1,1,4,4,0,1,12,11,11
1,1,1,2,4,2,1,13,13,13
1,1,0,2,1,1,1,9,9,10
1,1,1,3,2,4,1,12,11,11
1,1,1,2,1,3,1,11,11,12
1,1,1,2,3,3,1,10,9,9
1,1,1,3,2,2,1,12,11,11
1,1,1,2,2,2,1,13,12,13
1,1,1,1,2,1,1,13,12,12
1,1,1,4,2,4,1,12,11,12
1,1,1,2,2,2,0,13,11,11
1,1,1,4,3,2,1,15,15,15
1,1,1,2,2,2,1,12,10,11
1,1,1,4,2,4,0,9,9,10
1,1,1,3,3,3,1,9,11,11
1,1,1,4,1,3,1,14,13,13
1,1,1,3,2,1,0,12,13,12
1,1,1,4,2,2,1,13,14,14
1,1,1,2,4,2,1,11,12,12
1,0,1,1,4,1,1,13,13,13
1,0,1,4,1,3,1,9,11,11
1,1,1,2,2,1,0,13,12,12
1,1,1,4,1,4,1,12,13,13
1,1,1,4,3,3,1,12,13,13
1,1,1,4,1,4,1,9,9,8
1,1,1,4,3,4,1,16,16,16
1,1,1,4,1,4,1,12,13,12
